T,-,T,-,T,-,T,-,T,-,T,-,T,-,T,
-,T,-,T,-,T,-,T,-,T,-,T,-,T,-,
T,-,T,-,T,-,T,-,T,-,T,-,T,-,T,
-,T,O,O,O,O,O,O,O,O,O,O,O,T,-,
T,-,O,C,C,C,C,C,C,C,C,C,O,-,T,
-,T,O,C,C,C,C,C,C,C,C,C,O,T,-,
T,-,O,C,C,C,C,C,C,C,C,C,O,-,T,
-,T,O,C,C,C,C,C,C,C,C,C,O,T,-,
T,-,O,C,C,C,C,C,C,C,C,C,O,-,T,
-,T,O,C,C,C,C,C,C,C,C,C,O,T,-,
T,-,O,C,C,C,C,C,C,C,C,C,O,-,T,
-,T,O,C,C,C,C,C,C,C,C,C,O,T,-,
T,-,O,C,C,C,C,C,C,C,C,C,O,T,T,
-,T,O,N,N,N,C,C,C,C,C,C,O,O,O,
T,-,O,N,*,N,C,C,C,C,C,C,E,N,N,
-,T,O,O,O,O,O,O,O,O,O,O,O,O,O,
T,-,T,-,T,-,T,-,T,-,T,-,T,-,T,
-,T,-,T,-,T,-,T,-,T,-,T,-,T,-,
